Name,Address,IndustryInfo,Neighborhood,좌표
분당테크노파크D동 구내매점,식품잡화,경기 성남시 분당구 판교로 700,"야탑동, 분당테크노파크","(37.405391, 127.1284568)"
임마누엘마트,식품잡화,경기 성남시 분당구 판교로743번길 7,"야탑동, 목련마을SK아파트","(37.4063129, 127.1550911)"
카페제이,식품잡화,경기 성남시 분당구 황새울로258번길 10-9,수내동,"(37.3807148, 127.1165736)"
엔조이 전자담배,식품잡화,경기 성남시 분당구 돌마로 47,금곡동,"(37.371871, 127.1255546)"
시가모아 전자담배 분당미금점,식품잡화,경기 성남시 분당구 성남대로 168,"금곡동, 미도프라자","(37.3724397, 127.1081833)"
성남시민축구단1호점,편의점,경기 성남시 분당구 탄천로 215,야탑동,"(37.4091605, 127.123032)"
보스커피,식품잡화,경기 성남시 분당구 불정로 362,서현동,"(37.3721902, 127.1361805)"
씨유 분당동원점,편의점,경기 성남시 분당구 동원로 16,동원동,"(37.3458121, 127.0996286)"
(주) 빈스테이블(분당점),식품잡화,경기 성남시 분당구 내정로 152,"수내동, 파크타운롯데아파트","(37.3717867, 127.1187846)"
농업회사법인 진향 주식회사,식품잡화,경기 성남시 분당구 운중로188번길 8,운중동,"(37.39033955, 127.083598)"
SD트레이딩,식품잡화,경기 성남시 분당구 발이봉남로 14,수내동,"(37.36470025, 127.12644236580348)"
