Name,Address,IndustryInfo,Neighborhood,좌표
마임분당아름,화장품,경기 성남시 분당구 성남대로925번길 11,야탑동,"(37.4120427, 127.12729)"
루이제 린,"이용,미용",경기 성남시 분당구 황새울로312번길 20,304호,"(37.38405935, 127.1226110866697)"
오지영미용실,"이용,미용",경기 성남시 분당구 장안로25번길 28,상가 202,"(37.370766, 127.1434222)"
리라헤어샵,"이용,미용",경기 성남시 분당구 불정로 362,효자촌분산상가 A-104호,"(37.3721902, 127.1361805)"
베라헤어,"이용,미용",경기 성남시 분당구 장미로 108,1층,"(37.4132104, 127.13272462534803)"
종각이용원,"이용,미용",경기 성남시 분당구 내정로113번길 10,정자동,"(37.3706995, 127.11408015)"
블루클럽,"이용,미용",경기 성남시 분당구 분당로53번길 12,105,"(37.383604950000006, 127.12193688952257)"
가모디자인폴레,미용재료,경기 성남시 분당구 수내로46번길 11,305호,"(37.379965, 127.1168325)"
거부기미용실,"이용,미용",경기 성남시 분당구 백현로144번길 12-1,정자동,"(37.37277425, 127.11318969999999)"
스페셜스킨케어,화장품,경기 성남시 분당구 돌마로 73,우방코아 209,"(37.3503991, 127.1100803)"
아모레카운셀러,화장품,경기 성남시 분당구 백현로101번길 16,414,"(37.3764421, 127.1114779)"
아모레카운셀러,화장품,경기 성남시 분당구 백현로101번길 16,414,"(37.3764421, 127.1114779)"
아모레,화장품,경기 성남시 분당구 백현로101번길 16,415,"(37.3764421, 127.1114779)"
아모레외판,화장품,경기 성남시 분당구 백현로101번길 16,414,"(37.3764421, 127.1114779)"
아모레카운셀러,화장품,경기 성남시 분당구 백현로101번길 16,414,"(37.3764421, 127.1114779)"
베스트헤어샵,"이용,미용",경기 성남시 분당구 양현로94번길 11,청학상가 108 109호,"(37.3907172, 127.1262382)"
(주)에제르,화장품,경기 성남시 분당구 서현로 216,오벨리스크 306,"(37.3872288, 127.1257426)"
꽁빠니드프로방스(아브뉴프랑점),화장품,경기 성남시 분당구 동판교로177번길 25,117,"(37.3979779, 127.11383884800543)"
나이스가이 (시범단지점),"이용,미용",경기 성남시 분당구 중앙공원로39번길 49,111-1호,"(37.3824209, 127.1272947)"
남자만들기,"이용,미용",경기 성남시 분당구 백현로101번길 25,4,"(37.3764421, 127.1114779)"
박수진헤어,"이용,미용",경기 성남시 분당구 내정로119번길 24,1층,"(37.3724396, 127.11355514151859)"
헤어플어스,"이용,미용",경기 성남시 분당구 이매로 51,206-2호,"(37.394970099999995, 127.12658204474275)"
헤어사롱 비엔쥐,"이용,미용",경기 성남시 분당구 분당로 190,라이프상가 205,"(37.385305, 127.1182524)"
예쁜걸 미용실,"이용,미용",경기 성남시 분당구 내정로 29,1층 106,"(37.3627809, 127.11450635)"
허니&준,화장품,경기 성남시 분당구 성남대로 69,EZ타워 101,"(37.3724397, 127.1081833)"
